\
\ strid, ra1, dec1, ra2, dec2, ra1_err, dec1_err, corr1, ra2_err, dec2_err, corr2, start_mjd, end_mjd, flux, bg, length, sigma, length_err, sigma_err, pa_err, bg_err, fit_mag_err, ap_snr, ap_mag_err, dmag, dmag_err, chi2, numfit, prob
\ null, deg, deg, deg, deg, deg, deg, null, deg, deg, null, days, days, dn, dn, pixels, pixels, pixels, pixels, deg, dn, mag, null, mag, mag, mag, null, null, null
\
1, 163.279572862, 10.6539245824, 163.277386861, 10.6482612047, 0.000151962937878, 0.000165539944267, 0.626300566518, 0.000151962929356, 0.000165539937043, 0.626300475572, 58153.4368403, 58153.4371875, 602.529753891, 13.6183684396, 21.5331077928, 1.42987076234, 1.14802092425, 0.152165401509, 0.0266867202461, 0.100000346472, 0.110925487972, 5.06666213563, 0.214290232049, -0.0617538781464, 0.241298088334, 1.32699279676, 0, 0.000000
2, 163.272815651, 10.6453815528, 163.268212383, 10.6437021415, 0.000127756087774, 0.000123204130785, 0.556201526125, 0.000131691894495, 0.00012961318919, 0.652235299701, 58153.4368403, 58153.4371875, 210.754068697, 16.6164742781, 17.1573729878, 0.444372880355, 0.915430939843, 0.0967778039034, 0.0192284956979, 0.192639450568, 0.20754498576, 4.12217807241, 0.263388962264, 0.096344525986, 0.335333664514, 1.36443050362, 0, 0.000000
3, 163.240478456, 10.6377328859, 163.234937771, 10.6362548909, 0.000319190601947, 0.000318144610517, 0.952144742354, 0.000195849865011, 0.000198799211529, 0.669295332763, 58153.4368403, 58153.4371875, 332.247080073, 14.5461515797, 20.0615743818, 0.290999958136, 1.87670005052, 0.0665109825278, 0.0126151774405, 0.20948384577, 0.225475730953, 4.8775152287, 0.222600269574, -0.458951600585, 0.316844102459, 1.48395791526, 1, 0.000000
4, 163.264903186, 10.6369335039, 163.263141686, 10.6333364674, 8.83357434385e-05, 9.54516840242e-05, 0.752576767094, 9.12110693952e-05, 9.58887249783e-05, 0.788994699574, 58153.4368403, 58153.4371875, 211.168482588, 16.8865046441, 14.1916110211, 0.329281971342, 0.686581910721, 0.042138572526, 0.0114337390441, 0.156313783997, 0.128206327575, 5.66250192952, 0.191741427777, 0.195070822136, 0.23065480172, 1.05447310396, 0, 0.000000
5, 163.289681089, 10.635434513, 163.287395622, 10.6321945929, 0.00022814911034, 0.000229436904698, 0.999006199464, 4.82165179531e-05, 4.68629804059e-05, 0.45025745567, 58153.4368403, 58153.4371875, 217.753270962, 15.7916231281, 14.0156289977, 0.208382969363, 1.16770794173, 0.0196495483183, 0.00541894674416, 0.0880708043883, 0.118403730169, 9.07848789124, 0.119594388159, 0.438049458565, 0.168292189352, 1.24817401984, 0, 0.000000
6, 163.226355186, 10.6356979639, 163.222624073, 10.6329320866, 0.000282000819337, 0.000278358434466, 0.901267431909, 0.000282007409931, 0.000278357208173, 0.901262373698, 58153.4368403, 58153.4371875, 350.531151148, 12.8965959817, 16.3302627631, 0.873522251615, 2.01644746193, 0.241860522723, 0.0549075543484, 0.305608197782, 0.283730197387, 3.20613568844, 0.338643248529, -0.417560990137, 0.441794154198, 1.32404636952, 0, 0.000000
7, 163.217883763, 10.5355659045, 163.21391016, 10.5368644841, 4.01447389057e-05, 3.95687583368e-05, 0.746059407412, 3.38719018839e-05, 3.27936910812e-05, 0.335715292103, 58153.4368403, 58153.4371875, 326.154356661, 10.0892831726, 14.6363977196, 0.381471834625, 0.25912743479, 0.0275182878209, 0.00637429586667, 0.0870613505972, 0.0673176561456, 8.69053472948, 0.124933187491, 0.0949360043874, 0.141915355637, 0.772242766091, 0, 0.000000
8, 163.328049449, 10.5104643846, 163.324577633, 10.5152476046, 8.25820600207e-05, 8.32958076414e-05, 0.900051975339, 8.61828245759e-05, 8.51592240283e-05, 0.916914982165, 58153.4368403, 58153.4371875, 341.490553661, 11.8071858331, 20.8891190919, 0.467260327393, 0.600438466702, 0.0552630833311, 0.0092849063547, 0.104544999016, 0.11333835772, 4.6379254034, 0.234099540273, -0.361952015997, 0.260092633665, 1.24373216483, 0, 0.000000
