\
\ strid, ra1, dec1, ra2, dec2, ra1_err, dec1_err, corr1, ra2_err, dec2_err, corr2, start_mjd, end_mjd, flux, bg, length, sigma, length_err, sigma_err, pa_err, bg_err, fit_mag_err, ap_snr, ap_mag_err, dmag, dmag_err, chi2, numfit, prob
\ null, deg, deg, deg, deg, deg, deg, null, deg, deg, null, days, days, dn, dn, pixels, pixels, pixels, pixels, deg, dn, mag, null, mag, mag, mag, null, null, null
\
13, 80.2943891816, 44.1433784038, 80.2892054719, 44.1443713417, 0.000376155124877, 0.000322186204831, 0.478173628161, 0.000376155144502, 0.000322186215967, 0.478173715434, 58068.4593056, 58068.4596528, 853.309700088, -0.933382545116, 13.6885684378, 1.30316578799, 2.55387814595, 0.393530432945, 0.114789665022, 0.600776053599, 0.320507652086, 18.8634068986, 0.0575578001679, -0.216698669349, 0.325634849803, 15.7044675426, 0, 0.000000
14, 80.5206895789, 44.1349303237, 80.5196014901, 44.1304256324, 8.07422438121e-05, 0.000226194922108, 0.451982397609, 8.07422417726e-05, 0.000226194924654, 0.451982354882, 58068.4593056, 58068.4596528, 34610.4886898, -1.34194063754, 16.2548202728, 7.07145141004, 1.5711653473, 0.213392457999, 0.105071020635, 0.218074072587, 0.0340332390162, 259.501451912, 0.00418393113702, 0.000998522117541, 0.0342894537387, 11.0375677627, 0, 0.014000
15, 79.6306897082, 44.1136937727, 79.6256837148, 44.1112134612, 0.000318475181961, 0.000317725688251, 0.84564553465, 0.000318466638396, 0.000317718587963, 0.845636136788, 58068.4593056, 58068.4596528, 727.987579175, -3.95657504844, 15.53318517, 1.06826679723, 2.29991982346, 0.309719123268, 0.0755811982989, 0.616547465731, 0.303082555199, 5.23814258906, 0.207275038107, -1.24100237192, 0.367181122456, 10.741233028, 0, 0.000000
16, 80.0868225004, 44.1166178943, 80.085176718, 44.1060197128, 0.000192849389699, 0.000206007142026, 0.252095091425, 0.000192849389556, 0.000206007143342, 0.252095084417, 58068.4593056, 58068.4596528, 5600.89679399, -0.289867657875, 37.916509871, 1.38247680608, 1.42894656411, 0.142187182301, 0.0136418225949, 0.311455787148, 0.101766373702, 87.142671204, 0.0124592945082, 0.266002468391, 0.102526234867, 48.0149268165, 0, 0.526000
17, 80.4578457948, 44.1207651654, 80.4528885335, 44.1232665045, 0.000372104397971, 0.0003405501043, 0.860013840572, 0.000372104386317, 0.000340550095877, 0.860013832411, 58068.4593056, 58068.4596528, 834.382958003, -2.99231426769, 15.4654586867, 1.41312952613, 2.60319057182, 0.401317733084, 0.10059595824, 0.705328455629, 0.312325799539, 25.2425234693, 0.0430121895729, 0.00750706440039, 0.315273616894, 5.3042080184, 1, 0.000000
18, 80.1917370727, 44.1118493629, 80.1873110513, 44.1078390578, 0.000194490495481, 0.000227436208235, 0.80691662576, 0.000194490494451, 0.000227436208923, 0.806916624629, 58068.4593056, 58068.4596528, 18299.321169, -0.387077600177, 18.1933896595, 5.4737373441, 1.80474180526, 0.320985042661, 0.107398612032, 0.372161371419, 0.0670188564369, 148.067613736, 0.00733270549422, -0.000994184989683, 0.0674188081174, 8.90080956229, 0, 0.035000
19, 80.0087379226, 44.1025145757, 80.0065423275, 44.098273771, 0.000573747495785, 0.000662265849157, 0.625246457396, 0.000572702233188, 0.000661328781488, 0.622403300912, 58068.4593056, 58068.4596528, 892.884923071, -3.53904192726, 16.0881014061, -1.44072977333, 4.53035314547, 0.710894471825, 0.164976967118, 1.70634147473, 0.570758935478, 34.6957776071, 0.0312930356268, 0.0380256849997, 0.571616144372, 15.4456714865, 5, 0.000000
20, 79.8001912222, 44.0958648917, 79.7954799906, 44.0935592481, 0.000292620655396, 0.000289315531672, 0.833922485998, 0.000292620546354, 0.000289315390853, 0.833922237855, 58068.4593056, 58068.4596528, 735.480024271, -1.49642037715, 14.5620085891, 1.14844599384, 2.11207260214, 0.303612016581, 0.0798849944338, 0.652813468885, 0.282483247855, 46.9096158127, 0.0231452802575, -0.118086853067, 0.283429866664, 6.13651911992, 0, 0.002000
21, 80.1815241059, 44.0979237094, 80.168525787, 44.0956517154, 0.000196872428063, 0.000191441511362, 0.405521654465, 0.000196872648195, 0.000191441692008, 0.405524826487, 58068.4593056, 58068.4596528, 4379.08707779, -1.15244000146, 34.1608310942, 1.20191434541, 1.39025266392, 0.136137414335, 0.0144525415869, 0.373982343826, 0.112179531128, 70.8423857636, 0.0153260818796, -0.522572434462, 0.113221623331, 35.7956246415, 1, 0.115000
22, 79.4238288351, 44.0804862178, 79.4166450274, 44.0733649165, 0.000210875760907, 0.000223776833307, 0.930814032211, 0.000210870789556, 0.000223771578465, 0.930809292015, 58068.4593056, 58068.4596528, 2997.59285963, 5.68692333554, 31.2872347646, 1.077025333, 1.55617841759, 0.150444487461, 0.0174653850162, 0.293766327091, 0.137440603677, 103.913385596, 0.0104484730099, 0.216041814601, 0.137837187026, 18.5581430295, 6, 0.041000
23, 80.0895417049, 44.0811816233, 80.0835690487, 44.0818991017, 0.000321752473559, 0.000281342106364, 0.334232167509, 0.000321752436348, 0.000281342108045, 0.334232213822, 58068.4593056, 58068.4596528, 1021.27731325, -2.31231121554, 15.4675258245, 1.21712842244, 2.19210379994, 0.313011055335, 0.0780169045404, 0.676724282428, 0.271605225626, 54.4413961805, 0.0199432101476, 0.081578524161, 0.272336428371, 8.23372173148, 1, 0.004000
24, 79.6805390299, 44.0666812983, 79.6748489466, 44.0742620185, 0.000326779676954, 0.000327710981928, 0.764828021844, 0.000326779673108, 0.000327710979913, 0.764828010308, 58068.4593056, 58068.4596528, 2383.93286951, -2.00686876841, 30.6255885787, -1.3613997916, 2.34844871695, 0.257390521486, 0.0308578196553, 0.387265438168, 0.189855731635, 14.2614764509, 0.0761307013683, -1.50791363149, 0.204550928929, 28.3324032568, 1, 0.002000
25, 79.7654559475, 44.0754696329, 79.7610400833, 44.0726039024, 0.000333308207292, 0.000343525700026, 0.918543936756, 0.000333256470767, 0.00034346755097, 0.918512551651, 58068.4593056, 58068.4596528, 582.746867022, -1.65157866803, 15.2054589365, 0.977368042263, 2.44362947039, 0.319310539179, 0.0789567366041, 0.628462364459, 0.34043374597, 11.0502199846, 0.0982547140484, -0.887688394158, 0.354329118515, 10.3996597344, 0, 0.000000
