\
\ strid, ra1, dec1, ra2, dec2, ra1_err, dec1_err, corr1, ra2_err, dec2_err, corr2, start_mjd, end_mjd, flux, bg, length, sigma, length_err, sigma_err, pa_err, bg_err, fit_mag_err, ap_snr, ap_mag_err, dmag, dmag_err, chi2, numfit, prob
\ null, deg, deg, deg, deg, deg, deg, null, deg, deg, null, days, days, dn, dn, pixels, pixels, pixels, pixels, deg, dn, mag, null, mag, mag, mag, null, null, null
\
1, 158.113084034, 19.9019681151, 158.108680734, 19.8932517636, 0.000115044571488, 0.000119951111716, 0.578033409852, 0.000152554642351, 0.000157068763589, 0.877443175956, 58174.3628935, 58174.3632407, 853.483608335, 0.731026523749, 34.2992726407, 0.880996473866, 0.984914102785, 0.0686099793736, 0.00702313600316, 0.138637179497, 0.0807762425411, 26.5382095927, 0.0409121874242, 0.176563516265, 0.0905461674445, 1.16868439455, 0, 0.000000
2, 158.105269296, 19.8840468837, 158.100244122, 19.8747709199, 0.000140841668969, 0.000146261267574, 0.831792070031, 0.000127261734351, 0.000133071838219, 0.744638806611, 58174.3628935, 58174.3632407, 1063.57116485, 0.139660673961, 37.0031244938, 1.14063460637, 0.982307850894, 0.0865983143068, 0.00824798352771, 0.121357454412, 0.0782358510419, 30.6084193211, 0.0354718155605, -0.0153183080791, 0.0859016768603, 1.24515124437, 1, 0.000000
3, 158.077493265, 19.8315285685, 158.073579309, 19.8244686831, 9.81579987839e-05, 0.000102243548469, 0.80165583946, 9.83104317831e-05, 0.000102437296158, 0.802785190803, 58174.3628935, 58174.3632407, 650.42342742, 0.306262226146, 28.3016736202, 0.824203555776, 0.717694231083, 0.0648469961304, 0.00813530891835, 0.113631876051, 0.0791937644274, 24.9659686076, 0.0434886473592, 0.172301710965, 0.0903488504261, 1.23506135919, 1, 0.000000
4, 158.072045215, 19.8255211061, 158.068191399, 19.8179204701, 0.000175288418386, 0.000181845132284, 0.352445848522, 0.000415936991385, 0.000423915012114, 0.983552339258, 58174.3628935, 58174.3632407, 940.890263944, -0.219451807714, 29.9319229759, 1.09589412267, 2.3108417416, 0.0804844757166, 0.00994704319057, 0.128036551425, 0.103578137452, 32.5613419626, 0.0333443322454, -0.0840497261236, 0.108813027946, 1.14757000315, 0, 0.000000
5, 158.057981328, 19.7952139561, 158.055232343, 19.7900292735, 9.78988907796e-05, 0.000103071381798, 0.773778106209, 9.76944182459e-05, 0.000102873411561, 0.771876042785, 58174.3628935, 58174.3632407, 470.494982659, 0.527980109799, 20.5947552252, 0.821959198502, 0.720192161533, 0.0754717769887, 0.0132760842375, 0.118067441199, 0.0928951392514, 19.8967963759, 0.054568393034, 0.198107198414, 0.107736792299, 1.33014095289, 0, 0.000000
6, 158.041146762, 19.7631371027, 158.03926311, 19.7601961901, 7.48681921538e-05, 7.97681519885e-05, 0.826748182713, 7.51445154398e-05, 8.0048028998e-05, 0.828799298721, 58174.3628935, 58174.3632407, 385.752674279, 1.05860234709, 12.2057418193, 0.806542552365, 0.559592139291, 0.0736747323568, 0.0229236375996, 0.141009345993, 0.0942160717148, 16.5862732885, 0.0654599249556, 0.223948499118, 0.114724321504, 1.24553447979, 0, 0.000000
7, 158.038975811, 19.7590956599, 158.036194673, 19.7538452762, 0.000119239965083, 0.000126768310484, 0.764694703749, 0.000119247233819, 0.00012677560136, 0.76474997666, 58174.3628935, 58174.3632407, 605.860283809, 0.478198381605, 20.8527996424, 1.02801750851, 0.885433177875, 0.103371923217, 0.0180201493493, 0.170732451066, 0.104811236566, 20.3792722737, 0.0532764953614, -0.00688355333735, 0.117574573223, 1.24978609307, 0, 0.000000
8, 158.007953227, 19.701543212, 158.005745467, 19.6970822592, 8.48362336049e-05, 9.06482519206e-05, 0.731303247542, 8.48653359085e-05, 9.06890833217e-05, 0.731638057118, 58174.3628935, 58174.3632407, 518.37109383, 0.47753376747, 17.4932991184, 0.922847610649, 0.631815045575, 0.075292630701, 0.0159283239733, 0.117824148703, 0.0835243508247, 20.3403676037, 0.0533783963944, 0.124876509783, 0.0991240151645, 1.0577453695, 0, 0.000000
